"",".groups","time","HR1","HR2","Resp1","Resp2","Resp1S","Resp2S","HR1S","HR2S"
"587","587",14.653959,94.9405,111.732,-10,-1.0875732,-0.273272116290045,-1.26028723085132,0.396182174891808,0.649072539153287
"588","588",14.655623,94.9405,111.732,-10,-1.0541931,-0.273272116290045,-1.23054923756427,0.396182174891808,0.649072539153287
"589","589",14.657292,94.9405,111.732,-10,-1.0235715,-0.273272116290045,-1.2032687640115,0.396182174891808,0.649072539153287
"590","590",14.658958,94.9405,111.732,-10,-0.99977724,-0.273272116290045,-1.18207069857281,0.396182174891808,0.649072539153287
"591","591",14.660626,94.9405,112.04132,-10,-0.98017883,-0.273272116290045,-1.16461067343756,0.396182174891808,0.696427297057066
"592","592",14.662292,94.9405,112.15,-10,-0.97153627,-0.273272116290045,-1.15691110419532,0.396182174891808,0.713065455239476
"593","593",14.663957,94.9405,112.15,-10,-1.02869581,-0.273272116290045,-1.20783395993305,0.396182174891808,0.713065455239476
"594","594",14.665624,94.9405,112.15,-10,-1.2076415,-0.273272116290045,-1.36725486424329,0.396182174891808,0.713065455239476
"595","595",14.667292,94.623126,112.15,-10,-1.4344023,-0.273272116290045,-1.56927376616886,0.351846143175417,0.713065455239476
"596","596",14.668959,94.5839,112.2361,-10,-1.6043671,-0.273272116290045,-1.72069368646373,0.346366408918335,0.726246771208425
"597","597",14.670625,94.5839,112.36,-10,-1.6305113,-0.273272116290045,-1.74398528966729,0.346366408918335,0.745215006383253
"598","598",14.672292,94.5839,112.36,-10,-1.53299,-0.273272116290045,-1.65710455040215,0.346366408918335,0.745215006383253
"599","599",14.673957,94.5839,112.36,-10,-1.4649996,-0.273272116290045,-1.59653259109754,0.346366408918335,0.745215006383253
"600","600",14.675625,94.5839,112.36,-10,-1.4593665,-0.273272116290045,-1.5915141193139,0.346366408918335,0.745215006383253
"601","601",14.677292,94.5839,112.3768,-10,-1.4927613,-0.273272116290045,-1.62126520868218,0.346366408918335,0.747786970474756
"602","602",14.67896,94.5839,112.57,-10,-1.5775909,-0.273272116290045,-1.69683904085593,0.346366408918335,0.777364557527031
"603","603",14.680624,94.5839,112.57,-10,-2.0331116,-0.273272116290045,-2.10265782266641,0.346366408918335,0.777364557527031
"604","604",14.682292,94.5839,112.57,-10,-3.3291104,-0.273272116290045,-3.25725003822068,0.346366408918335,0.777364557527031
"605","605",14.683958,93.066806,112.57,-10,0.168476383999087,-0.273272116290045,-0.141285367550574,0.134433712160739,0.777364557527031
"606","606",14.685625,92.8793,112.57,-10,0.168476383999087,-0.273272116290045,-0.141285367550574,0.108239783348003,0.777364557527031
"607","607",14.687292,92.8793,113.41214,-10,0.168476383999087,-0.273272116290045,-0.141285367550574,0.108239783348003,0.90629038133761
"608","608",14.68896,92.8793,113.636,-10,-3.4502652,-0.273272116290045,-3.36518562346739,0.108239783348003,0.940561802856878
"609","609",14.690623,92.8793,113.636,-10,-1.5072908,-0.273272116290045,-1.63420939319524,0.108239783348003,0.940561802856878
"610","610",14.692291,92.8793,113.636,-10,-0.0093628019,-0.273272116290045,-0.299720498555012,0.108239783348003,0.940561802856878
"611","611",14.693959,92.8793,113.636,-10,0.83702987,-0.273272116290045,0.454322167439681,0.108239783348003,0.940561802856878
"612","612",14.695625,92.8793,114.1134,-10,1.1725555,-0.273272116290045,0.753238555724102,0.108239783348003,1.01364844912374
"613","613",14.697292,92.8793,114.504,-10,1.2160857,-0.273272116290045,0.792019170383252,0.108239783348003,1.07344661425116
"614","614",14.698958,92.8793,114.504,-10,1.0927917,-0.273272116290045,0.68217779350501,0.108239783348003,1.07344661425116
"615","615",14.700624,91.685098,114.504,-10,0.86915897,-0.273272116290045,0.482945657486713,-0.0585860364979106,1.07344661425116
"616","616",14.702291,91.5375,114.504,-10,0.64883726,-0.273272116290045,0.286663275679255,-0.0792049580519001,1.07344661425116
"617","617",14.70396,91.5375,115.41748,-10,0.51337884,-0.273272116290045,0.16598474012561,-0.0792049580519001,1.21329409986459
"618","618",14.705625,91.5375,116.732,-10,0.47349241,-0.273272116290045,0.130450323284908,-0.0792049580519001,1.41453804257658
"619","619",14.707293,91.5375,116.732,-10,0.49016421,-0.273272116290045,0.14530306118812,-0.0792049580519001,1.41453804257658
"620","620",14.708957,91.5375,116.732,-10,0.4911011,-0.273272116290045,0.146137727007896,-0.0792049580519001,1.41453804257658
"621","621",14.710624,91.5375,116.732,-10,0.43663326,-0.273272116290045,0.0976128795604635,-0.0792049580519001,1.41453804257658
"622","622",14.712293,91.5375,116.51552,-10,0.3421234,-0.273272116290045,0.0134150017158819,-0.0792049580519001,1.38139644814037
"623","623",14.713959,91.5375,115.83,-10,0.2706116,-0.273272116290045,-0.0502941372125447,-0.0792049580519001,1.27644806575902
"624","624",14.715625,91.5375,115.83,-10,0.23092345,-0.273272116290045,-0.0856519084078192,-0.0792049580519001,1.27644806575902
"625","625",14.717292,90.978224,115.83,-10,0.21273796,-0.273272116290045,-0.101853177413655,-0.15733384849099,1.27644806575902
"626","626",14.718958,90.9091,115.83,-10,0.20995774,-0.273272116290045,-0.104330047276133,-0.166990228208181,1.27644806575902
"627","627",14.720624,90.9091,115.83,-10,0.27214351,-0.273272116290045,-0.0489293740963059,-0.166990228208181,1.27644806575902
"628","628",14.722293,90.9091,112.03908,-10,0.54459533,-0.273272116290045,0.193795195159155,-0.166990228208181,0.696084368511532
"629","629",14.723959,90.9091,111.317,-10,0.97281515,-0.273272116290045,0.575291899259539,-0.166990228208181,0.585538902369152
"630","630",14.725624,90.9091,111.317,-10,1.3248596,-0.273272116290045,0.888924737113313,-0.166990228208181,0.585538902369152
